                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                 2.8142,                 1.7548,                0.61343,                0.88258,                 0.8879,                 0.6156,                 1.3926,                 1.3275,                 1.2503,                      0,                      0,                      0
                      2,                 1.2487,                 2.6201,                 1.4408,                0.59672,                0.89736,                0.88811,                0.61799,                 1.4046,                 1.3516,                 1.2564,             1.1664e-06,             1.1664e-06,             1.1664e-06
                      3,                 1.1416,                 4.2165,                 1.4952,                0.57908,                0.83333,                0.87397,                0.61303,                 1.4194,                 1.3837,                  1.263,             2.2858e-06,             2.2858e-06,             2.2858e-06
                      4,                 1.2662,                 2.6679,                 1.4494,                0.54578,                0.85516,                0.87205,                0.60506,                 1.4537,                 1.4184,                 1.2787,             3.3579e-06,             3.3579e-06,             3.3579e-06
                      5,                 1.3366,                 2.8573,                 1.6308,                   0.57,                0.83333,                0.87216,                0.59728,                 1.4799,                 1.4522,                 1.2951,              4.383e-06,              4.383e-06,              4.383e-06
                      6,                 1.6322,                 4.7103,                 1.9239,                0.85309,                0.57299,                0.87404,                0.58056,                  1.491,                 1.5073,                 1.3099,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      7,                 1.3927,                 2.0815,                 1.5497,                0.83798,                0.56667,                0.88594,                 0.5771,                 1.5055,                 1.5476,                 1.3205,             6.2918e-06,             6.2918e-06,             6.2918e-06
                      8,                 1.5175,                 3.1607,                 1.7857,                0.83509,                0.56667,                0.88234,                 0.5469,                 1.5184,                 1.6278,                 1.3415,             7.1755e-06,             7.1755e-06,             7.1755e-06
                      9,                 1.0782,                 2.5999,                 1.3567,                0.81788,                0.56667,                0.77945,                 0.5384,                 1.5441,                  1.691,                 1.3601,              8.012e-06,              8.012e-06,              8.012e-06
                     10,                0.97866,                 3.3571,                 1.4942,                0.79582,                0.56667,                0.74397,                0.51786,                  1.557,                 1.7387,                 1.3771,             8.8015e-06,             8.8015e-06,             8.8015e-06
                     11,                 1.3574,                 2.7723,                 1.5403,                0.79782,                0.58253,                0.74429,                0.53451,                 1.5573,                 1.7494,                  1.378,             9.5438e-06,             9.5438e-06,             9.5438e-06
                     12,                 1.0367,                 2.0687,                 1.3959,                0.77864,                0.58333,                 0.7443,                0.53457,                 1.5576,                 1.7679,                 1.3776,             1.0239e-05,             1.0239e-05,             1.0239e-05
                     13,                0.97478,                 2.6051,                 1.2347,                0.75481,                0.58333,                0.74302,                0.51788,                 1.5298,                 1.7823,                 1.3618,             1.0887e-05,             1.0887e-05,             1.0887e-05
                     14,                 1.3917,                 2.4621,                 1.8058,                0.76237,                0.58333,                 0.7431,                0.53448,                 1.5194,                 1.8123,                 1.3576,             1.1488e-05,             1.1488e-05,             1.1488e-05
                     15,                0.81957,                 1.7307,                 1.1194,                0.78798,                0.58333,                0.74159,                0.53109,                  1.515,                 1.8289,                 1.3516,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     16,                 1.0988,                 2.1965,                 1.5241,                 0.9272,                0.37331,                0.74169,                0.53956,                 1.5305,                 1.8509,                 1.3564,             1.2549e-05,             1.2549e-05,             1.2549e-05
                     17,                0.84457,                 1.7311,                 1.1695,                0.92707,                0.37344,                0.74292,                0.53977,                 1.5312,                 1.8809,                 1.3594,             1.3008e-05,             1.3008e-05,             1.3008e-05
                     18,                 1.1236,                 1.6591,                 1.3475,                0.92707,                0.37344,                0.74292,                0.53977,                 1.5312,                 1.8809,                 1.3594,             1.3421e-05,             1.3421e-05,             1.3421e-05
                     19,                0.98124,                 1.7584,                 1.1618,                0.93038,                0.37361,                0.63235,                0.48459,                 1.5686,                 1.9801,                 1.3814,             1.3786e-05,             1.3786e-05,             1.3786e-05
                     20,                 1.0324,                 1.6497,                 1.3366,                0.93038,                0.37361,                0.63235,                0.48459,                 1.5686,                 1.9801,                 1.3814,             1.4104e-05,             1.4104e-05,             1.4104e-05
                     21,                 1.2927,                 2.8342,                 1.6647,                0.92577,                0.37328,                0.60917,                0.46684,                 1.5989,                 2.0502,                 1.4049,             1.4375e-05,             1.4375e-05,             1.4375e-05
                     22,                 1.3007,                  2.613,                 1.7025,                0.92577,                0.37328,                0.60917,                0.46684,                 1.5989,                 2.0502,                 1.4049,             1.4599e-05,             1.4599e-05,             1.4599e-05
                     23,                0.94234,                 2.0174,                 1.4113,                0.92263,                0.37329,                0.60906,                0.46521,                 1.6178,                 2.1151,                 1.4288,             1.4776e-05,             1.4776e-05,             1.4776e-05
                     24,                 1.0527,                 2.2789,                 1.5363,                0.92263,                0.37329,                0.60906,                0.46521,                 1.6178,                 2.1151,                 1.4288,             1.4906e-05,             1.4906e-05,             1.4906e-05
                     25,                0.86261,                 1.7358,                 1.2659,                0.92585,                0.37343,                0.58361,                0.44183,                  1.624,                 2.1837,                 1.4375,             1.4988e-05,             1.4988e-05,             1.4988e-05
                     26,                0.96675,                 2.0243,                 1.3921,                0.92585,                0.37343,                0.58361,                0.44183,                  1.624,                 2.1837,                 1.4375,             1.5024e-05,             1.5024e-05,             1.5024e-05
                     27,                0.87723,                 1.9995,                 1.3819,                0.92162,                 0.3732,                0.57632,                0.43195,                 1.6602,                 2.2642,                 1.4769,             1.5012e-05,             1.5012e-05,             1.5012e-05
                     28,                0.83684,                 1.3258,                 1.1863,                0.92162,                 0.3732,                0.57632,                0.43195,                 1.6602,                 2.2642,                 1.4769,             1.4953e-05,             1.4953e-05,             1.4953e-05
                     29,                0.92914,                 1.6622,                 1.2663,                0.92281,                0.37345,                0.58414,                0.43275,                 1.6621,                 2.2685,                 1.4877,             1.4847e-05,             1.4847e-05,             1.4847e-05
                     30,                 1.2947,                 2.7049,                 1.5811,                0.92281,                0.37345,                0.58414,                0.43275,                 1.6621,                 2.2685,                 1.4877,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     31,                0.98233,                 1.4023,                  1.268,                0.92407,                0.37342,                 0.5764,                 0.4321,                 1.7056,                 2.2903,                 1.5227,             1.4494e-05,             1.4494e-05,             1.4494e-05
                     32,                0.75023,                 1.6697,                 1.2138,                0.92407,                0.37342,                 0.5764,                 0.4321,                 1.7056,                 2.2903,                 1.5227,             1.4247e-05,             1.4247e-05,             1.4247e-05
                     33,                0.93677,                 1.3607,                 1.5199,                0.92596,                0.37351,                0.49504,                0.35658,                 1.7222,                 2.2947,                 1.5421,             1.3953e-05,             1.3953e-05,             1.3953e-05
